nice to see you here 🦜🦾,"This data is maintained @sureailabs, @proximasan, @EErratica, and @KyrickYoung as part our ongoing Image Synthesis Style Studies project, started in Feb 2022. Its purpose is to document artist names and other prompt modifier keywords (see tabs) that are recognized by AI text-to-image synthesis models, such as the CLIP models used in Disco Diffusion and Stable Diffusion. We are not afilliated with the development or training of these models.
Aniela,Miss,Yes,x,Yes,x,"whimsical, photography, scene",N/A,proximasan,x,x,12,
Anker,Albrecht,Yes,x,Yes,x,"realism, scene, portrait",1910,sureailabs,x,x,10,
Anning,Mary,Yes,x,Yes,x,"scene, landscape",1847,sureailabs,x,x,8,
Anquetin,Louis,Yes,x,Yes,x,"impressionism, portrait, scene",1932,sureailabs,x,x,12,
Ansell,Mary Jane,Yes,x,Yes,x,"portrait, still life, photorealism",N/A,sureailabs,x,x,12,
Ansin,Martin,Yes,x,Yes,x,"detailed, high contrast",N/A,sureailabs,x,x,8,
Antoni,Janine,Yes,x,No,x,sculpture,N/A,proximasan,x,x,11,
Aoshima,Chiho,Yes,x,Yes,x,"pop art, colorful, whimsical, anime, fantasy, vibrant",N/A,proximasan,x,x,12,
Apterus,Sabbas,Yes,x,Yes,x,"digital, dark, scene",N/A,sureailabs,x,x,11,AKA Peter Polach
Arad,Ron,Yes,x,Yes,x,architecture,N/A,sureailabs,x,x,11,AKA Giorgione
Aragonés,Sergio,Yes,x,Yes,x,"cartoon, comics",N/A,sureailabs,x,x,12,
Araki,Hirohiko,Yes,x,Yes,x,manga,N/A,sureailabs,x,x,5,
Araki,Nobuyoshi,Yes,x,Yes,x,"photography, scene",N/A,sureailabs,x,x,6,
Aramaki,Shinji,Yes,x,Yes,x,"anime, scene, character",N/A,sureailabs,x,x,5,
Arbus,Diane,Yes,x,Yes,x,"photography, monochromatic, scene",1971,sureailabs,x,x,5,
Arcangel,Cory,Yes,x,Yes,x,"high contrast, colorful, installation",N/A,sureailabs,x,x,8,
Archillect,N/A,Yes,x,Yes,x,"monochromatic, dark, photography",N/A,sureailabs,x,x,13,
Archipenko,Alexander,Yes,x,Yes,x,"sculpture, abstract, cubism",1964,sureailabs,x,x,9,"Also ""Olexandr Archipenko"""
Arcimboldo,Giuseppe,Yes,x,Yes,x,"dark, fruit",1593,EErratica,x,x,1,
Ardon,Mordecai,Yes,x,Yes,x,"abstract, figurativism, expressionism",1992,proximasan,x,x,10,
Argyle,Steve,Yes,x,Yes,x,"fantasy, character",N/A,sureailabs,x,x,7,
Arian,Mark,Yes,x,Yes,x,"character, realism",N/A,EErratica,x,x,9,
Arkhipov,Abram Efimovich,Yes,x,Yes,x,"realism, scene",1930,sureailabs,x,x,12,
Arkley,Howard,Yes,x,Yes,x,"architecture, vibrant, colorful, detailed",1999,sureailabs,x,x,11,
Armstrong,Rolf,Yes,x,Yes,x,"character, vibrant, art nouveau, art deco",1960,sureailabs,x,x,9,
Arnegger,Alois,Yes,x,Yes,x,"romanticism, landscape",1963,sureailabs,x,x,13,
Arnold,Eve,Yes,x,Yes,x,"photography, monochromatic",2012,sureailabs,x,x,13,
Arntz,Gerd,Yes,x,Yes,x,"graphic design, high contrast, flat colors, monochromatic",1988,sureailabs,x,x,13,
Arntzenius,Floris,Yes,x,Yes,x,"realism, streetscape, scene",1925,sureailabs,x,x,13,
Aroch,Guy,Yes,x,Yes,x,"photography, fashion, portrait",N/A,sureailabs,x,x,13,
Aronson,Ben,Yes,x,Yes,x,"cityscape, streetscape, realism, impressionism",N/A,sureailabs,x,x,13,
Arp,Jean,Yes,x,Yes,x,"abstract, high contrast",1966,KyrickYoung,x,x,2,
Arrivabene,Agostino,Yes,x,Yes,x,"renaissance, dark, surrealism, low contrast",N/A,sureailabs,x,x,12,
Arsham,Daniel,Yes,x,Yes,x,"sculpture, installation",N/A,sureailabs,x,x,13,
Artgerm,N/A,Yes,x,Yes,x,character,N/A,EErratica,x,x,3,
Asai,Miki,Yes,x,Yes,x,"photography, vibrant",N/A,sureailabs,x,x,13,
Asano,Inio,Yes,x,Yes,x,"manga, scene",N/A,sureailabs,x,x,9,
Ascher,Clemens,Yes,x,Yes,x,"photography, vibrant, high contrast",N/A,sureailabs,x,x,9,
Asencio,Henry,Yes,x,Yes,x,"dark, messy, expressionism, impressionism, abstract, figurativism, portrait",N/A,proximasan,x,x,10,
Atget,Eugène,Yes,x,Yes,x,"photography, surrealism, monochromatic, architecture, dark",1927,sureailabs,x,x,13,
Atroshenko,Andrew,Yes,x,Yes,x,"portrait, impressionism, figurativism",N/A,proximasan,x,x,10,
Audubon,John James,Yes,x,Yes,x,"birds, realism, watercolor",1851,EErratica,x,x,1,
Auerbach,Frank,Yes,x,Yes,x,"dark, expressionism",1931,sureailabs,x,x,3,
Ault,George,Yes,x,Yes,x,"surrealism, dark, angular, high contrast",1948,proximasan,x,x,10,
Avercamp,Hendrick,Yes,x,Yes,x,"landscape, scene",1634,proximasan,x,x,9,
Averin,Alexandr,Yes,x,Yes,x,"scene, impressionism",N/A,sureailabs,x,x,8,
Avery,Milton,Yes,x,Yes,x,"low contrast, abstract",1965,sureailabs,x,x,4,
Avery,Tex,Yes,x,Yes,x,"whimsical, storybook realism",1980,sureailabs,x,x,5,
Azzopardi,Deborah,Yes,x,Yes,x,"pop art, cartoon, vibrant",N/A,sureailabs,x,x,13,
Baade,Carrie Ann,Yes,x,Yes,x,"detailed, surrealism, pop art",N/A,sureailabs,x,x,14,
Baars,Ingrid,Yes,x,Yes,x,"high contrast, photography, dark, portrait, monochromatic",N/A,proximasan,x,x,10,
Bachalo,Chris,Yes,x,Yes,x,"comics, high contrast",N/A,sureailabs,x,x,14,
Bachelier,Anne,Yes,x,Yes,x,"portrait, surrealism",N/A,sureailabs,x,x,14,
Backer,Harriet,Yes,x,Yes,x,"scene, impressionism",1932,sureailabs,x,x,5,
Bacon,Francis,Yes,x,Yes,x,"expressionism,",1992,EErratica,x,x,1,
Baes,Firmin,Yes,x,Yes,x,"impressionism, portrait, still life, landscape",1943,sureailabs,x,x,15,
Bagge,Peter,Yes,x,Yes,x,"comics, whimsical, high contrast",N/A,sureailabs,x,x,5,
